"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bangladesh,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,451.534,450.461,475.011,519.288,550.283,596.228,652.936,716.74
Barbados,1.048,1.154,1.205,1.28,1.395,1.46,1.603,1.765,1.877,2.077,2.084,2.092,2.015,2.136,2.227,2.348,2.515,2.667,3.057,3.21,3.312,3.306,3.364,3.479,3.754,4.213,4.702,5.273,5.401,5.064,5.138,5.302,5.233,5.338,5.366,5.288,5.331,5.517,5.63,5.788,5.168,5.275,6.257,6.721,7.169,7.559,7.944,8.344,8.758,9.195,9.656
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.8,11.408,15.687,10.532,14.494,14.091,15.215,12.133,10.785,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,61.312,68.207,73.735,71.792,76.208,85.739,90.556,94.681,99.486,103.864,108.074
Belgium,123.479,102.245,89.959,85.037,81.237,84.468,117.063,145.412,158.098,159.817,200.15,205.37,228.733,218.721,238.623,288.302,279.292,253.022,258.876,258.503,236.897,236.748,258.2,318.004,369.047,385.927,408.281,470.978,517.271,484.488,481.949,527.106,498.731,524.106,538.127,461.091,474.141,500.733,542.885,536.787,529.269,598.92,594.081,644.84,664.365,716.98,761.174,780.384,802.019,824.347,849.306
Belize,0.229,0.238,0.238,0.251,0.28,0.278,0.302,0.354,0.418,0.482,0.547,0.597,0.696,0.752,0.772,0.819,0.85,0.873,0.929,1,1.138,1.172,1.244,1.308,1.4,1.474,1.59,1.706,1.738,1.688,1.749,1.832,1.917,2.035,2.138,2.193,2.24,2.266,2.286,2.381,2.047,2.429,2.847,3.052,3.204,3.297,3.442,3.561,3.681,3.802,3.926
Benin,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.766,14.346,14.697,15.674,17.699,17.439,19.679,21.487,24.402,27.453,29.78,32.298,34.897,37.733
Bhutan,0.132,0.143,0.15,0.162,0.168,0.174,0.197,0.238,0.273,0.272,0.293,0.254,0.248,0.26,0.263,0.308,0.324,0.362,0.398,0.418,0.454,0.474,0.517,0.616,0.7,0.818,0.876,1.071,1.359,1.273,1.529,1.88,1.966,1.995,1.962,2.159,2.252,2.462,2.651,2.618,2.586,2.621,2.866,2.923,3.098,3.408,3.771,4.109,4.484,4.961,5.463
Bolivia,3.589,3.44,3.813,3.609,3.752,4.059,3.97,4.323,4.598,4.716,4.868,5.335,5.635,5.724,5.974,6.707,7.385,7.919,8.49,8.269,8.385,8.155,7.917,8.092,8.785,9.573,11.52,13.216,16.792,17.464,19.786,24.135,27.282,30.883,33.237,33.241,34.189,37.782,40.581,41.193,36.897,40.701,44.329,45.464,46.967,57.086,no data,no data,no data,no data,no data
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.584,4.578,5.281,5.766,5.568,5.801,6.728,8.499,10.17,11.233,12.877,15.801,19.188,17.666,17.207,18.665,17.237,18.184,18.588,16.413,17.124,18.363,20.504,20.485,20.264,23.688,24.581,27.606,29.614,33.237,36.239,38.082,40.004,42.005,44.106
Botswana,1.174,1.037,1.094,1.208,1.2,1.117,1.515,2.374,3.082,3.441,3.799,3.802,3.928,3.957,4.258,4.805,4.926,5.011,4.808,5.413,5.682,5.46,5.395,7.469,8.819,9.833,9.919,10.566,10.731,10.118,12.637,15.111,13.907,14.272,15.47,13.531,15.083,16.105,17.032,16.696,14.93,18.75,20.321,19.411,19.356,19.186,20.708,22.333,24.136,26.386,28.775
